dt,AverageTemperature,AverageTemperatureUncertainty,State,Country,Month,Year
1/1/1900,19.302,1.072,Australian Capital Territory,Australia,1,1900
1/1/1910,18.093,0.699,Australian Capital Territory,Australia,1,1910
1/1/1920,16.735,0.696,Australian Capital Territory,Australia,1,1920
1/1/1930,17.686,0.485,Australian Capital Territory,Australia,1,1930
1/1/1940,18.745,0.265,Australian Capital Territory,Australia,1,1940
1/1/1950,17.54,0.389,Australian Capital Territory,Australia,1,1950
1/1/1960,20.237,0.438,Australian Capital Territory,Australia,1,1960
1/1/1970,16.761,0.195,Australian Capital Territory,Australia,1,1970
1/1/1980,17.751,0.343,Australian Capital Territory,Australia,1,1980
1/1/1990,18.549,0.315,Australian Capital Territory,Australia,1,1990
1/1/2000,16.46,0.265,Australian Capital Territory,Australia,1,2000
1/1/1900,25.266,0.547,New South Wales,Australia,1,1900
1/1/1910,24.115,0.499,New South Wales,Australia,1,1910
1/1/1920,23.745,0.313,New South Wales,Australia,1,1920
1/1/1930,24.165,0.282,New South Wales,Australia,1,1930
1/1/1940,25.756,0.199,New South Wales,Australia,1,1940
1/1/1950,24.39,0.209,New South Wales,Australia,1,1950
1/1/1960,26.491,0.282,New South Wales,Australia,1,1960
1/1/1970,23.639,0.134,New South Wales,Australia,1,1970
1/1/1980,24.444,0.139,New South Wales,Australia,1,1980
1/1/1990,25.844,0.212,New South Wales,Australia,1,1990
1/1/2000,23.047,0.146,New South Wales,Australia,1,2000
1/1/1900,29.965,0.699,Northern Territory,Australia,1,1900
1/1/1910,29.986,0.641,Northern Territory,Australia,1,1910
1/1/1920,28.478,0.637,Northern Territory,Australia,1,1920
1/1/1930,29.341,0.557,Northern Territory,Australia,1,1930
1/1/1940,29.126,0.612,Northern Territory,Australia,1,1940
1/1/1950,29.476,0.337,Northern Territory,Australia,1,1950
1/1/1960,30.506,0.305,Northern Territory,Australia,1,1960
1/1/1970,30.93,0.28,Northern Territory,Australia,1,1970
1/1/1980,30.504,0.29,Northern Territory,Australia,1,1980
1/1/1990,31.323,0.234,Northern Territory,Australia,1,1990
1/1/2000,30.005,0.205,Northern Territory,Australia,1,2000
1/1/1900,27.646,0.37,Queensland,Australia,1,1900
1/1/1910,27.571,0.531,Queensland,Australia,1,1910
1/1/1920,28.006,0.345,Queensland,Australia,1,1920
1/1/1930,28.103,0.293,Queensland,Australia,1,1930
1/1/1940,29.425,0.26,Queensland,Australia,1,1940
1/1/1950,28.167,0.187,Queensland,Australia,1,1950
1/1/1960,29.043,0.188,Queensland,Australia,1,1960
1/1/1970,28.972,0.177,Queensland,Australia,1,1970
1/1/1980,29.247,0.159,Queensland,Australia,1,1980
1/1/1990,30.103,0.274,Queensland,Australia,1,1990
1/1/2000,28.174,0.166,Queensland,Australia,1,2000
1/1/1900,26.211,0.599,South Australia,Australia,1,1900
1/1/1910,26.799,0.763,South Australia,Australia,1,1910
1/1/1920,25.238,0.452,South Australia,Australia,1,1920
1/1/1930,25.613,0.351,South Australia,Australia,1,1930
1/1/1940,26.498,0.238,South Australia,Australia,1,1940
1/1/1950,25.822,0.266,South Australia,Australia,1,1950
1/1/1960,28.571,0.271,South Australia,Australia,1,1960
1/1/1970,25.581,0.243,South Australia,Australia,1,1970
1/1/1980,26.025,0.171,South Australia,Australia,1,1980
1/1/1990,27.66,0.314,South Australia,Australia,1,1990
1/1/2000,26.146,0.176,South Australia,Australia,1,2000
1/1/1900,15.277,1.055,Tasmania,Australia,1,1900
1/1/1910,15.044,0.615,Tasmania,Australia,1,1910
1/1/1920,14.101,0.409,Tasmania,Australia,1,1920
1/1/1930,13.449,0.448,Tasmania,Australia,1,1930
1/1/1940,13.445,0.335,Tasmania,Australia,1,1940
1/1/1950,13.004,0.45,Tasmania,Australia,1,1950
1/1/1960,16.429,0.282,Tasmania,Australia,1,1960
1/1/1970,15.115,0.229,Tasmania,Australia,1,1970
1/1/1980,13.873,0.237,Tasmania,Australia,1,1980
1/1/1990,15.132,0.179,Tasmania,Australia,1,1990
1/1/2000,14.829,0.176,Tasmania,Australia,1,2000
1/1/1900,21.09,0.513,Victoria,Australia,1,1900
1/1/1910,20.69,0.453,Victoria,Australia,1,1910
1/1/1920,19.038,0.335,Victoria,Australia,1,1920
1/1/1930,19.279,0.311,Victoria,Australia,1,1930
1/1/1940,19.47,0.161,Victoria,Australia,1,1940
1/1/1950,18.852,0.111,Victoria,Australia,1,1950
1/1/1960,22.3,0.242,Victoria,Australia,1,1960
1/1/1970,19.025,0.163,Victoria,Australia,1,1970
1/1/1980,18.629,0.156,Victoria,Australia,1,1980
1/1/1990,20.757,0.204,Victoria,Australia,1,1990
1/1/2000,19.522,0.119,Victoria,Australia,1,2000
1/1/1900,28.297,0.471,Western Australia,Australia,1,1900
1/1/1910,29.468,0.495,Western Australia,Australia,1,1910
1/1/1920,28.56,0.574,Western Australia,Australia,1,1920
1/1/1930,29.091,0.362,Western Australia,Australia,1,1930
1/1/1940,28.191,0.424,Western Australia,Australia,1,1940
1/1/1950,29.11,0.205,Western Australia,Australia,1,1950
1/1/1960,28.427,0.259,Western Australia,Australia,1,1960
1/1/1970,29.689,0.172,Western Australia,Australia,1,1970
1/1/1980,30.078,0.179,Western Australia,Australia,1,1980
1/1/1990,28.944,0.212,Western Australia,Australia,1,1990
1/1/2000,27.455,0.272,Western Australia,Australia,1,2000